id,objectid_1,objectid,village,vlcode,gram_panchayat_name,gram_panchayat_code,block,bkcode,subdistric,sdcode,sub_district_head_quarter,district,dtcode,district_head_quarter,state,stcode,uqcode,country,total_urban_rural,total_households,total_population_village,avg_household,total_geographical_area,total_male_population_village,total_female_population_village,tapwater_treated_status,tapwater_untreated_status,covered_well_status,covered_well_function_year,covered_well_functioning_summer,uncovered_well_status,uncovered_well_function_year,uncovered_well_function_summer,handpump_status,hand_pump_function_year,hand_pump_function_summer,tubewell_borehole_status,tube_wells_borehole_function_year,tube_wells_borehole_function_Summer,spring_status,spring_functioning_all_round_year,spring_functioning_summer_month,river_canal_status,tank_pond_lake_status,others_status,closed_drainage_status,open_drainage_status,village_pin_code_status,forest_area,area_under_non_agricultural_use,barren_uncultivable_land,permanent_pastures_grazing,land_under_miscellaneous,culturable_waste_land,fallows_land_other_than_current,current_fallows_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,canals_area,wells_tube_wells_area,tanks_lakes_area,waterfall_area,other_source_specify_area,nearest_town_name,nearest_town_distance_from_village,shape_leng,shape_length,shape_area,ds_name,src_agency,state_name,latitude,longitude
313,313,34762.0,Ambalappuzha,628229,"Ambalappuzha South, Ambalappuzha North","04, 03",Ambalappuzha,112,Ambalappuzha,5674,Alappuzha,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7856.0,33939.0,4.32013747,918.0,16620.0,17319.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Available,Available,Available,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,678.0,82.0,595.0,100.0,240.0,0.0,0.0,255.0,Alappuzha,13.0,12866.191416706924,12866.191416706924,8229705.012106161,Administrative Boundary,Survey of India (SOI),Kerala,9.393971793042393,76.35592125596773
311,311,34760.0,Purakkad,628231,Purakkad,05,Ambalappuzha,112,Ambalappuzha,5674,Alappuzha,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7219.0,29782.0,4.12550215,2321.0,14383.0,15399.0,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Not Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Available,Available,Available,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,2235.0,512.0,1723.0,745.0,211.0,127.0,0.0,641.0,Alappuzha,12.0,25959.76420572436,25959.76420572436,23845498.19755745,Administrative Boundary,Survey of India (SOI),Kerala,9.34377191494104,76.38191755439665
343,343,34792.0,Aryad South,628227,Aryad,02,Aryad,111,Ambalappuzha,5674,Alappuzha,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,0.0,0.0,0.0,524.0,0.0,0.0, , , , , , , , , , , , , , , , , , , , , , , ,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,404.0,0.0,0.0,214.0,0.0,190.0,Alappuzha,5.0,24940.315430969084,24940.315430969084,19189027.044604134,Administrative Boundary,Survey of India (SOI),Kerala,9.521485728618295,76.3461487389806
335,335,34784.0,Kalavoor,628226,Mararikkulam South,01,Aryad,111,Ambalappuzha,5674,Alappuzha,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7385.0,29808.0,4.03628978,1277.0,14458.0,15350.0,Available,Not Available,Not Available, , ,Available,Not Available,Not Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.0,0.0,1277.0,0.0,1277.0,0.0,0.0,0.0,Alappuzha,8.0,17842.81413491471,17842.81413491471,14622581.947585288,Administrative Boundary,Survey of India (SOI),Kerala,9.57496044695925,76.31536581821265
468,468,34917.0,Noornad,628283,Noornad,06,Bharanikkavu (Part),120,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,6899.0,25375.0,3.67806929,2128.0,11511.0,13864.0,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Available,Not Available, , ,Available,Available,Available,Available,Available,Available,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,1870.0,1508.0,362.0,120.0,150.0,80.0,0.0,12.0,Mavelikkara,15.0,23764.641785922056,23764.641785922056,20635779.361686222,Administrative Boundary,Survey of India (SOI),Kerala,9.20341144003446,76.62941125432755
395,395,34844.0,Palamel,628284,Palamel,94,Bharanikkavu (Part),120,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,8546.0,32512.0,3.80435291,2559.0,15229.0,17283.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Available,0.0,650.0,0.0,0.0,0.0,0.0,100.0,100.0,1712.0,312.0,1598.0,658.0,940.0,0.0,0.0,0.0,Mavelikkara,15.0,26957.43226541729,26957.43226541729,26641397.805652827,Administrative Boundary,Survey of India (SOI),Kerala,9.17376797941027,76.6556233139787
398,398,34847.0,Thamarakkulam,628285,Mavelikkara-Thamarakkulam,07,Bharanikkavu (Part),120,Mavelikkara,5678,Mavelikkara,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,7062.0,27017.0,3.82568677,2089.0,12624.0,14393.0,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available,Available,Available,Available,0.0,228.0,0.0,0.0,0.0,0.0,205.0,205.0,1656.0,1751.0,110.0,0.0,110.0,0.0,0.0,0.0,Mavelikkara,18.0,29340.769138107364,29340.769138107364,20914425.57846249,Administrative Boundary,Survey of India (SOI),Kerala,9.15325662400385,76.60702137671723
298,298,34747.0,Champakkulam,628244,Champakkulam,06,Champakkulam,113,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3932.0,15848.0,4.03051882,2297.0,7636.0,8212.0,Available,Not Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,194.0,0.0,0.0,0.0,0.0,201.0,201.0,1902.0,0.0,2103.0,1003.0,0.0,0.0,0.0,1100.0,Alappuzha,10.0,28878.516221821486,28878.516221821486,23410077.814163703,Administrative Boundary,Survey of India (SOI),Kerala,9.419214225020133,76.42638751338049
325,325,34774.0,Kainakary North,628236,Kainakary,72,Champakkulam,113,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,1919.0,8292.0,4.32100052,3317.0,4081.0,4211.0,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Not Available, , ,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Not Available,Available,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,1766.0,1239.0,0.0,0.0,466.0,0.0,772.0,Alappuzha,10.0,35571.54467833605,35571.54467833605,33742628.45071646,Administrative Boundary,Survey of India (SOI),Kerala,9.521754190029496,76.40088999895725
322,322,34771.0,Kainakary South,628237,"Kainakary, Nedumudi","72, 01",Champakkulam,113,Kuttanad,5675,Mancomb,Alappuzha,554,Alappuzha,KL,32, ,India,Rural,3770.0,15405.0,4.0862069,745.0,7364.0,8041.0,Available,Not Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Available,Not Available, , ,Available,Available,Not Available,Not Available,Available,Available,0.0,108.0,0.0,0.0,60.0,0.0,105.0,105.0,373.0,1.0,636.0,0.0,0.0,64.0,0.0,572.0,Alappuzha,8.0,23288.92290668548,23288.92290668548,21927339.029644445,Administrative Boundary,Survey of India (SOI),Kerala,9.467102673950086,76.38616437795207
