village,vlcode,block,district,shoreline_distance_km,shoreline_proximity_score,erosion_baseline_score,coastal_hazard_score,coastal_hazard_category,hazard_model,hazard_data_quality
Matia,395910,Rajnagar,Kendrapara,0.0324383183400329,1.0,0.2938079811515241,0.7175231924606096,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Padmanavpatna,396054,Rajnagar,Kendrapara,0.0343118457265921,0.9997607929644622,0.2938079811515241,0.717379668239287,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Firikidandi,395937,Rajnagar,Kendrapara,0.0444321621315394,0.9984686576568604,0.2938079811515241,0.7166043870547258,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Gohipur,396053,Rajnagar,Kendrapara,0.0684140351990706,0.9954067153525828,0.2938079811515241,0.7147672216721594,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Mangalpur,395909,Rajnagar,Kendrapara,0.0794309654281624,0.9940001027566132,0.2938079811515241,0.7139232541145775,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Paramanandapur,395880,Rajnagar,Kendrapara,0.0990201644903677,0.9914990054842452,0.2938079811515241,0.7124225957511567,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Nuagan,396520,Marsaghai,Kendrapara,0.1035256755585787,0.9909237537137392,0.2938079811515241,0.7120774446888531,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Damodarpur,395645,Rajkanika,Kendrapara,0.1107199380324035,0.9900052092549868,0.2938079811515241,0.7115263180136018,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Baghadia,396016,Rajnagar,Kendrapara,0.1115672679129674,0.9898970244105558,0.2938079811515241,0.7114614071069432,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
Bhitarkanika,395806,Rajnagar,Kendrapara,0.1151664474933818,0.9894374906540836,0.2938079811515241,0.7111856868530597,HIGH,0.40*NCCR_erosion_baseline + 0.60*shoreline_proximity,MODELLED_PROXY
