village,vlcode,state,district,block,population,total_population_village,total_households,total_geographical_area,latitude,longitude,aashray_risk_score,priority,risk_category,risk_model,risk_model_note,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution,forest_area,net_area_sown,total_unirrigated_land,area_irrigated_by_source,nearest_town_distance_from_village
Birin Dola,396779,Odisha,Kendrapara,Marsaghai,387.0,387.0,87.0,40.0,20.418882386947455,86.40695511487405,52.07999875060981,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6528284254910168,0.3,0.6440498028276681,0.4446950457593799,0.5207999875060981,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,18.0
Gopei,396731,Odisha,Kendrapara,Marsaghai,1552.0,1552.0,356.0,111.0,20.438376559449384,86.35207407115942,48.36533351159947,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6753780730266927,0.1,0.679886739487326,0.4303411416807771,0.4836533351159947,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,91.0,91.0,0.0,10.0
Bilabalarampur,396712,Odisha,Kendrapara,Marsaghai,1335.0,1335.0,289.0,101.0,20.462066490624448,86.3903346179947,53.93543956683791,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.7028500495846586,0.3,0.6582414865644222,0.4446950457593799,0.5393543956683791,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,56.0,49.0,7.0,6.0
Mandia,396795,Odisha,Kendrapara,Marsaghai,885.0,885.0,230.0,147.0,20.387313252041682,86.41600379634386,52.645721938892756,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6808241078565966,0.3,0.6330839115202904,0.4446950457593799,0.5264572193889275,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,2.0,84.0,84.0,0.0,10.0
Arimula,396722,Odisha,Kendrapara,Marsaghai,263.0,263.0,70.0,44.0,20.421916845332984,86.41236046277771,43.39771148271852,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6155276586934608,0.0,0.6415192322690839,0.4446950457593799,0.4339771148271852,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,34.0,34.0,0.0,18.0
Gajipithi,396776,Odisha,Kendrapara,Marsaghai,53.0,53.0,13.0,49.0,20.421406010153888,86.40092358141979,53.24732878212512,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6882709509980838,0.3,0.6482119734798006,0.4446950457593799,0.5324732878212513,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,38.0,38.0,0.0,16.0
Agar Bindha,396728,Odisha,Kendrapara,Marsaghai,411.0,411.0,118.0,138.0,20.436347175892767,86.37641441521296,53.44109206848042,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6900642519288118,0.3,0.6652936670800209,0.4303411416807771,0.5344109206848042,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,113.0,31.0,82.0,15.0
Talagan,396710,Odisha,Kendrapara,Marsaghai,998.0,998.0,244.0,127.0,20.44919001220818,86.37793705671884,46.68290375964125,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.622411618690017,0.1,0.6646661713501258,0.4446950457593799,0.4668290375964125,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,87.0,39.0,48.0,10.0
Karandia Patna,396715,Odisha,Kendrapara,Marsaghai,2207.0,2207.0,561.0,331.0,20.445161309261245,86.41336798703288,46.57527770203233,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6360389572884386,0.1,0.6440083227276632,0.4446950457593799,0.4657527770203233,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,0.0,0.0,0.0,15.0
Jalopoka,396702,Odisha,Kendrapara,Marsaghai,1859.0,1859.0,460.0,204.0,20.46186919350389,86.34290605716835,49.196040909248566,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6960212691706542,0.1,0.6883432000205362,0.4303411416807771,0.4919604090924857,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,87.0,87.0,0.0,10.0
Karilo Patana,396709,Odisha,Kendrapara,Marsaghai,2895.0,2895.0,700.0,241.0,20.45460854053447,86.36205306029527,47.86254153327747,P3,MODERATE,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6623863128440912,0.1,0.6753651725735679,0.4303411416807771,0.4786254153327747,MODERATE,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,0.0,142.0,112.0,30.0,10.0
Akhuadakhini,396796,Odisha,Kendrapara,Marsaghai,561.0,561.0,139.0,108.0,20.397334700465212,86.41258202506911,53.039487429640296,P2,HIGH,Kendrapara multi-hazard model,"Composite coastal, flood, cyclone and rainfall hazard model.",0.6901401350681151,0.3,0.6376552984963699,0.4446950457593799,0.530394874296403,HIGH,"coastal,flood,cyclone,rainfall",coastal 30%; flood 25%; cyclone 25%; rainfall 20%,1.0,71.0,71.0,0.0,16.0
