village,vlcode,significant_cyclone_events,cyclones_within_50km,cyclones_within_100km,cyclones_within_200km,nearest_cyclone_distance_km,maximum_nearby_wind_kt,strongest_cyclone_event,strongest_cyclone_name,maximum_event_score,frequency_score,cyclone_hazard_score,cyclone_hazard_category
Birin Dola,396779,23,2,8,23,42.61763474922991,140.0,1999_7,,0.4914997183252402,1.0,0.6440498028276681,VERY HIGH
Gopei,396731,23,2,8,23,36.67243084383659,140.0,1999_7,,0.5426953421247516,1.0,0.679886739487326,VERY HIGH
Bilabalarampur,396712,23,3,8,23,40.19238195413156,140.0,1999_7,,0.5117735522348887,1.0,0.6582414865644222,VERY HIGH
Mandia,396795,23,2,9,23,44.56115341552919,140.0,1999_7,,0.4758341593147006,1.0,0.6330839115202904,VERY HIGH
Arimula,396722,23,3,9,23,43.06058043471164,140.0,1999_7,,0.48788461752726286,1.0,0.6415192322690839,VERY HIGH
Gajipithi,396776,23,2,8,23,41.89613529071395,140.0,1999_7,,0.49744567639971515,1.0,0.6482119734798006,VERY HIGH
Agar Bindha,396728,23,2,8,23,39.022724256551555,140.0,1999_7,,0.5218480958286014,1.0,0.6652936670800209,VERY HIGH
Talagan,396710,23,2,8,23,39.12587994015361,140.0,1999_7,,0.5209516733573226,1.0,0.6646661713501258,VERY HIGH
Karandia Patna,396715,23,3,9,23,42.62486903921463,140.0,1999_7,,0.49144046103951894,1.0,0.6440083227276632,VERY HIGH
Jalopoka,396702,22,2,8,22,35.351451015376846,140.0,1999_7,,0.5547760000293375,1.0,0.6883432000205362,VERY HIGH
Karilo Patana,396709,23,2,8,23,37.39085936236892,140.0,1999_7,,0.5362359608193827,1.0,0.6753651725735679,VERY HIGH
Akhuadakhini,396796,23,2,9,23,43.74328721229101,140.0,1999_7,,0.4823647121376713,1.0,0.6376552984963699,VERY HIGH
Pokshyot,396701,22,2,8,22,34.31986376130693,140.0,1999_7,,0.5643967996626095,1.0,0.6950777597638266,VERY HIGH
Hantapada,396708,23,2,8,23,37.91007242694339,140.0,1999_7,,0.5316156354864572,1.0,0.6721309448405199,VERY HIGH
Abhaypur,396778,23,2,9,23,42.774932904980496,140.0,1999_7,,0.49021287256208074,1.0,0.6431490107934565,VERY HIGH
Orisbindha,396777,23,2,9,23,42.175783051370736,140.0,1999_7,,0.49513257820220297,1.0,0.6465928047415421,VERY HIGH
Raichand,396732,23,2,8,23,36.72432693851249,140.0,1999_7,,0.5422261489172103,1.0,0.6795583042420472,VERY HIGH
Gaudagan,396714,23,3,9,23,41.44536537016167,140.0,1999_7,,0.5011969759976365,1.0,0.6508378831983455,VERY HIGH
Jokia,396780,23,2,9,23,43.26702477293576,140.0,1999_7,,0.4862088185573593,1.0,0.6403461729901515,VERY HIGH
Dalaanta,396725,23,2,8,23,40.08073856266196,140.0,1999_7,,0.5127267076563449,1.0,0.6589086953594414,VERY HIGH
Raghunatha Pur,396723,23,3,9,23,42.54077578409368,140.0,1999_7,,0.49212972441447866,1.0,0.644490807090135,VERY HIGH
Jamapada,396724,23,2,8,23,41.28069424547743,140.0,1999_7,,0.5025744098249337,1.0,0.6518020868774536,VERY HIGH
Naranpur,396707,23,2,8,23,36.74801426080922,140.0,1999_7,,0.5420121264077061,1.0,0.6794084884853943,VERY HIGH
Dihabalarampur,396713,23,2,8,23,40.16038685089227,140.0,1999_7,,0.5120465291384368,1.0,0.6584325703969058,VERY HIGH
Aitpur,396711,23,2,8,23,38.23033032555157,140.0,1999_7,,0.5287856265399566,1.0,0.6701499385779697,VERY HIGH
Odang,396781,23,2,10,23,44.08692036678756,140.0,1999_7,,0.479609999627871,1.0,0.6357269997395096,VERY HIGH
Surtipur,396490,22,2,8,22,35.50318208154037,140.0,1999_7,,0.5533748265561579,1.0,0.6873623785893105,VERY HIGH
Gobindpur,395658,20,4,10,20,14.241122720130404,140.0,1984_4,,0.3661884460934842,1.0,0.5563319122654389,LOW
Laxmiprasad,395975,20,2,13,20,11.0215960587738,140.0,1984_4,,0.3863744042758774,1.0,0.5704620829931142,MODERATE
Padmanavpatna,396054,20,2,13,20,17.185155327449415,140.0,1984_4,,0.34865429439868895,1.0,0.5440580060790823,LOW
Ratanpur,396893,23,0,10,23,50.6727217989379,140.0,1999_7,,0.4297526951441254,1.0,0.6008268866008877,VERY HIGH
Khamaganbindha,396940,23,2,10,23,48.30644610192339,140.0,1999_7,,0.44703989623375046,1.0,0.6129279273636252,VERY HIGH
Potari,396892,23,1,9,23,49.869874066925405,140.0,1999_7,,0.4355417729455037,1.0,0.6048792410618526,VERY HIGH
Raipur,396958,21,1,10,21,47.60404982474535,140.0,1999_7,,0.4194989064793095,1.0,0.5936492345355167,HIGH
Samjori,396954,23,1,10,23,48.329503632692045,140.0,1999_7,,0.41315043907706267,1.0,0.5892053073539438,HIGH
Pailo,396872,23,1,9,23,45.693545749975804,140.0,1999_7,,0.46693785833413254,1.0,0.6268565008338928,VERY HIGH
Barunei,396075,21,2,14,21,20.186208731054023,140.0,1984_4,,0.331644401169327,1.0,0.5321510808185288,LOW
Madhuraganda Khamar,396953,23,1,10,23,47.88421668300916,140.0,1999_7,,0.4092775931543626,1.0,0.5864943152080537,HIGH
Khurusia,396962,21,1,10,21,47.62722973849641,140.0,1999_7,,0.42262177512318666,1.0,0.5958352425862306,HIGH
Nachhipada,396888,23,1,10,23,48.5942944433337,140.0,1999_7,,0.44490037094943097,1.0,0.6114302596646016,VERY HIGH
Manikipur,396880,23,1,10,23,47.73409015194646,140.0,1999_7,,0.45132473324908967,1.0,0.6159273132743628,VERY HIGH
Gopalapur,396948,23,1,10,23,48.51097092257291,140.0,1999_7,,0.42411168983359604,1.0,0.5968781828835172,VERY HIGH
