cyclone_event_id,year,system_number,cyclone_name,date,time,latitude,longitude,max_wind_kt,pressure_hpa,grade,basin
1982_2,1982,2.0,,1982-06-03,0300,19.0,88.0,65.0,972.0,VSCS,BOB
1982_2,1982,2.0,,1982-06-03,0600,19.5,87.5,80.0,960.0,VSCS,BOB
1982_2,1982,2.0,,1982-06-03,1200,20.0,87.0,90.0,952.0,VSCS,BOB
1982_2,1982,2.0,,1982-06-03,1800,21.0,86.5,90.0,952.0,VSCS,BOB
1982_2,1982,2.0,,1982-06-04,0000,21.5,86.0,65.0,970.0,VSCS,BOB
1982_3,1982,3.0,,1982-07-19,1200,19.0,85.5,25.0,,D,BOB
1982_3,1982,3.0,,1982-07-20,0000,19.5,85.0,20.0,,D,BOB
1982_4,1982,4.0,,1982-08-12,1800,20.5,87.0,25.0,,D,BOB
1982_4,1982,4.0,,1982-08-12,1200,20.5,87.5,25.0,,D,BOB
1982_5,1982,5.0,,1982-08-18,0300,21.0,88.0,25.0,,D,BOB
1982_5,1982,5.0,,1982-08-18,1200,21.5,87.5,25.0,,D,BOB
1982_6,1982,6.0,,1982-08-27,1200,20.0,88.0,25.0,,D,BOB
1982_6,1982,6.0,,1982-08-28,0300,21.0,88.0,25.0,,D,BOB
1982_6,1982,6.0,,1982-08-28,1200,21.2,87.7,25.0,,D,BOB
1982_6,1982,6.0,,1982-08-29,0300,20.5,85.5,25.0,,D,BOB
1982_6,1982,6.0,,1982-08-29,1200,21.0,85.0,25.0,,D,BOB
1982_7,1982,7.0,,1982-09-10,0300,20.5,85.5,25.0,,D,BOB
1983_2,1983,2.0,,1983-06-25,0300,19.0,85.5,30.0,,DD,BOB
1983_2,1983,2.0,,1983-06-25,1800,19.5,84.5,30.0,,DD,BOB
1983_2,1983,2.0,,1983-06-25,1200,19.5,85.0,30.0,,DD,BOB
1984_2,1984,2.0,,1984-07-31,1200,20.0,86.5,25.0,,D,BOB
1984_2,1984,2.0,,1984-08-01,0300,20.5,85.0,25.0,,D,BOB
1984_2,1984,2.0,,1984-08-01,1200,21.0,84.0,25.0,,D,BOB
1984_3,1984,3.0,,1984-08-15,1200,21.0,87.0,25.0,,D,BOB
1984_4,1984,4.0,,1984-10-13,0000,19.0,88.0,25.0,,D,BOB
1984_4,1984,4.0,,1984-10-13,0300,19.5,87.5,25.0,,D,BOB
1984_4,1984,4.0,,1984-10-13,1200,20.5,87.5,65.0,,SCS,BOB
1984_4,1984,4.0,,1984-10-14,0300,20.7,86.8,55.0,,SCS,BOB
1984_4,1984,4.0,,1984-10-14,1200,21.5,86.0,35.0,,CS,BOB
1985_10,1985,10.0,,1985-10-15,0300,19.5,87.5,35.0,,CS,BOB
1985_10,1985,10.0,,1985-10-15,1200 ,20.5,87.5,45.0,,SCS,BOB
1985_3,1985,3.0,,1985-08-01,0300,20.0,88.0,25.0,,D,BOB
1985_3,1985,3.0,,1985-08-01,1200,20.5,87.5,25.0,,D,BOB
1985_3,1985,3.0,,1985-08-02,0000,20.5,87.5,25.0,,D,BOB
1985_4,1985,4.0,,1985-08-06,0300,20.5,88.0,25.0,,D,BOB
1985_4,1985,4.0,,1985-08-06,0600,21.5,87.0,25.0,,D,BOB
1985_5,1985,5.0,,1985-08-14,0600,19.0,87.5,25.0,,D,BOB
1985_5,1985,5.0,,1985-08-14,1200,19.5,87.0,25.0,,D,BOB
1985_5,1985,5.0,,1985-08-15,0000,20.5,86.5,25.0,,D,BOB
1985_6,1985,6.0,,1985-09-20,0600,19.5,86.5,40.0,,CS,BOB
1985_6,1985,6.0,,1985-09-20,0300,19.5,87.0,35.0,,CS,BOB
1985_6,1985,6.0,,1985-09-20,1200,19.8,86.2,45.0,,CS,BOB
1985_6,1985,6.0,,1985-09-20,1800,20.5,85.5,35.0,,CS,BOB
1985_6,1985,6.0,,1985-09-21,0000,21.0,84.0,30.0,,DD,BOB
1986_5,1986,5.0,,1986-08-19,0300,21.2,88.0,25.0,,D,BOB
1986_5,1986,5.0,,1986-08-19,1200,21.3,87.3,25.0,,D,BOB
1986_5,1986,5.0,,1986-08-20,0300,21.5,86.1,25.0,,D,BOB
1986_6,1986,6.0,,1986-09-24,0300,20.5,88.0,25.0,,D,BOB
1986_6,1986,6.0,,1986-09-25,0300,21.0,87.5,25.0,,D,BOB
1986_6,1986,6.0,,1986-09-25,1200,21.5,86.7,25.0,,D,BOB
1986_7,1986,7.0,,1986-11-08,1200,19.5,86.0,30.0,,DD,BOB
1987_2,1987,2.0,,1987-06-03,1200,19.0,88.0,30.0,986.0,DD,BOB
1988_3,1988,3.0,,1988-07-18,0300,19.4,84.2,25.0,,D,BOB
1988_8,1988,8.0,,1988-11-28,0300,19.0,85.8,110.0,,SCS,BOB
1988_8,1988,8.0,,1988-11-28,0900,19.3,86.2,110.0,,SCS,BOB
1988_8,1988,8.0,,1988-11-29,0300,19.6,87.8,115.0,,SCS,BOB
1989_1,1989,1.0,,1989-05-26,0300,20.6,87.5,115.0,,SCS,BOB
1989_1,1989,1.0,,1989-05-26,1200,21.5,87.2,115.0,,SCS,BOB
1989_3,1989,3.0,,1989-06-12,1200,19.5,87.5,25.0,,D,BOB
1989_3,1989,3.0,,1989-06-12,0300,19.5,88.0,25.0,,D,BOB
1989_3,1989,3.0,,1989-06-13,0300,20.0,86.9,25.0,,D,BOB
1989_3,1989,3.0,,1989-06-13,1200,21.4,86.9,30.0,,DD,BOB
1989_7,1989,7.0,,1989-10-17,1200,20.0,88.0,25.0,,D,BOB
1990_2,1990,2.0,,1990-06-14,0000,21.5,88.0,27.0,992.0,D,BOB
1990_3,1990,3.0,,1990-08-14,1800,19.0,86.5,27.0,994.0,D,BOB
1990_3,1990,3.0,,1990-08-14,1200,19.0,87.5,27.0,994.0,D,BOB
1990_3,1990,3.0,,1990-08-15,0000,19.0,86.0,27.0,993.0,D,BOB
1990_3,1990,3.0,,1990-08-15,0600,19.5,85.0,27.0,995.0,D,BOB
1990_4,1990,4.0,,1990-08-20,1800,20.5,87.5,27.0,995.0,D,BOB
1990_4,1990,4.0,,1990-08-21,1200,20.5,84.0,27.0,991.0,D,BOB
1990_4,1990,4.0,,1990-08-21,0000,20.5,86.0,27.0,991.0,D,BOB
1990_6,1990,6.0,,1990-10-07,0600,20.5,88.0,33.0,1000.0,DD,BOB
1990_6,1990,6.0,,1990-10-07,1800,21.0,87.0,27.0,999.0,D,BOB
1990_6,1990,6.0,,1990-10-07,1200,21.0,87.5,27.0,998.0,D,BOB
1990_6,1990,6.0,,1990-10-08,0000,21.5,87.5,27.0,999.0,D,BOB
1990_7,1990,7.0,,1990-11-04,0000,19.0,84.5,27.0,1001.0,D,BOB
1991_3,1991,3.0,-,1991-07-28,1200,20.5,87.5,30.0,984.0,DD,BOB
1991_3,1991,3.0,-,1991-07-28,0600,20.5,87.8,25.0,987.0,D,BOB
1991_3,1991,3.0,-,1991-07-28,1800,21.0,87.0,30.0,986.0,DD,BOB
1991_3,1991,3.0,-,1991-07-29,0600,21.5,84.2,30.0,990.0,DD,BOB
1991_3,1991,3.0,-,1991-07-29,0000,21.5,86.5,30.0,986.0,DD,BOB
1991_4,1991,4.0,-,1991-08-22,0600,21.3,87.5,25.0,996.0,D,BOB
1991_6,1991,6.0,-,1991-10-13,0000,19.5,88.0,25.0,1000.0,D,BOB
1992_2,1992,2.0,,1992-06-17,1200,19.5,87.0,30.0,984.0,DD,BOB
1992_2,1992,2.0,,1992-06-17,600,19.5,88.0,30.0,988.0,DD,BOB
1992_2,1992,2.0,,1992-06-17,1800,20.0,86.5,30.0,980.0,DD,BOB
1992_2,1992,2.0,,1992-06-18,600,21.0,84.5,25.0,990.0,D,BOB
1992_2,1992,2.0,,1992-06-18,0,21.0,86.0,30.0,984.0,DD,BOB
1992_3,1992,3.0,,1992-07-26,1800,20.5,87.0,30.0,984.0,DD,BOB
1992_3,1992,3.0,,1992-07-26,600,20.5,87.5,30.0,986.0,DD,BOB
1992_3,1992,3.0,,1992-07-27,0,21.0,86.0,30.0,986.0,DD,BOB
1992_3,1992,3.0,,1992-07-27,600,21.5,85.0,30.0,988.0,DD,BOB
1995_3,1995,3.0,,1995-05-14,1800,19.5,86.5,25.0,998.0,D,BOB
1995_3,1995,3.0,,1995-05-15,0000,20.0,86.8,25.0,997.0,D,BOB
1995_3,1995,3.0,,1995-05-15,0300,20.5,87.0,30.0,996.0,DD,BOB
1995_3,1995,3.0,,1995-05-15,0600,21.0,87.3,30.0,996.0,DD,BOB
1995_3,1995,3.0,,1995-05-15,1200,21.5,87.5,30.0,996.0,DD,BOB
1995_3,1995,3.0,,1995-05-15,1800,21.5,88.0,30.0,996.0,DD,BOB
1995_4,1995,4.0,,1995-09-16,1800,21.0,88.0,25.0,998.0,D,BOB
1995_4,1995,4.0,,1995-09-17,0000,21.0,87.5,25.0,998.0,D,BOB
1995_5,1995,5.0,,1995-09-26,0300,21.5,87.5,25.0,1000.0,D,BOB
1995_7,1995,7.0,,1995-11-09,0300,19.0,85.0,77.0,978.0,VSCS,BOB
1995_7,1995,7.0,,1995-11-09,0600,19.5,85.0,,,SCS ,BOB
1995_7,1995,7.0,,1995-11-09,1200,21.0,85.0,,,CS,BOB
1996_7,1996,7.0,,1996-10-28,0300,19.0,87.5,30.0,998.0,DD,BOB
1996_7,1996,7.0,,1996-10-28,0600,20.0,88.0,30.0,998.0,DD,BOB
1997_3,1997,3.0,,1997-07-29,1200,21.0,87.5,25.0,1006.0,D,BOB
1997_3,1997,3.0,,1997-07-30,0600,21.0,87.0,30.0,1002.0,DD,BOB
1997_3,1997,3.0,,1997-07-30,0000,21.0,87.5,25.0,1004.0,D,BOB
1997_3,1997,3.0,,1997-07-30,1200,21.5,86.5,,,DD,BOB
1997_3,1997,3.0,,1997-07-31,0000,21.5,86.5,,,DD,BOB
1997_5,1997,5.0,,1997-08-20,1200,20.5,86.5,,,DD,BOB
1997_5,1997,5.0,,1997-08-20,0600,20.5,87.0,30.0,990.0,DD,BOB
1997_5,1997,5.0,,1997-08-20,0300,20.5,87.5,25.0,992.0,D,BOB
1997_5,1997,5.0,,1997-08-20,1800,21.0,85.5,,,DD,BOB
1997_5,1997,5.0,,1997-08-21,0600,21.0,84.0,,,DD,BOB
1997_5,1997,5.0,,1997-08-21,0300,21.0,84.5,,,DD,BOB
