village,vlcode,block,district,area_m2,area_km2,centroid_x,centroid_y,area_exposure_score,coastal_exposure_score,coastal_exposure_category,exposure_method,exposure_data_quality,shoreline_distance_available,village_erosion_rate_available
Birin Dola,396779,Marsaghai,Kendrapara,372083.2959156333,0.3720832959156333,4656695.015687215,3625854.5727353995,0.019797395989038444,0.019797395989038444,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gopei,396731,Marsaghai,Kendrapara,1224479.3682880562,1.2244793682880561,4650978.13443867,3627717.945689114,0.06729624145006788,0.06729624145006788,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Bilabalarampur,396712,Marsaghai,Kendrapara,932745.8709090548,0.9327458709090548,4654779.681471607,3630469.1177878804,0.05103970912086151,0.05103970912086151,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Mandia,396795,Marsaghai,Kendrapara,1583138.3335414808,1.5831383335414808,4657778.14376942,3622466.7276749983,0.08728212279789035,0.08728212279789035,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Arimula,396722,Marsaghai,Kendrapara,471699.8259928129,0.4716998259928129,4657233.650991761,3626209.472004635,0.025348418947568237,0.025348418947568237,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gajipithi,396776,Marsaghai,Kendrapara,870781.7450709022,0.8707817450709021,4656064.760580949,3626100.6672091424,0.04758682549937497,0.04758682549937497,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Agar Bindha,396728,Marsaghai,Kendrapara,1194395.038171726,1.194395038171726,4653480.885819107,3627610.12890834,0.06561982482485164,0.06561982482485164,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Talagan,396710,Marsaghai,Kendrapara,1349065.9846646378,1.3490659846646378,4653573.6180381235,3629012.556095313,0.07423869535100312,0.07423869535100312,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Karandia Patna,396715,Marsaghai,Kendrapara,3061975.239035037,3.061975239035037,4657221.808929213,3628739.658464844,0.1696887033920526,0.1696887033920526,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jalopoka,396702,Marsaghai,Kendrapara,1265269.555953587,1.265269555953587,4649924.219642489,3630228.084505143,0.06956923036103146,0.06956923036103146,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Karilo Patana,396709,Marsaghai,Kendrapara,2079697.9213702765,2.0796979213702764,4651920.425561087,3629527.682907272,0.11495236658353676,0.11495236658353676,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Akhuadakhini,396796,Marsaghai,Kendrapara,899516.5594088712,0.8995165594088712,4657377.989088984,3623539.620037491,0.049188041823368354,0.049188041823368354,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Pokshyot,396701,Marsaghai,Kendrapara,855787.3757125123,0.8557873757125123,4648940.9389960915,3630876.246805259,0.04675128055023239,0.04675128055023239,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Hantapada,396708,Marsaghai,Kendrapara,1443762.2137825994,1.4437622137825994,4652456.850676614,3628579.7168783057,0.07951553988185295,0.07951553988185295,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Abhaypur,396778,Marsaghai,Kendrapara,480107.26190696174,0.48010726190696174,4656832.299576972,3624840.175098852,0.025816914183706758,0.025816914183706758,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Orisbindha,396777,Marsaghai,Kendrapara,953711.7084813647,0.9537117084813647,4656097.586469192,3625035.5397679005,0.05220800765142195,0.05220800765142195,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Raichand,396732,Marsaghai,Kendrapara,550113.6500722914,0.5501136500722914,4650895.941230185,3626999.614773483,0.029717944139763385,0.029717944139763385,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Gaudagan,396714,Marsaghai,Kendrapara,2271795.4337378135,2.2717954337378137,4655906.471790717,3629454.878510494,0.1256567918491277,0.1256567918491277,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jokia,396780,Marsaghai,Kendrapara,850234.4510698604,0.8502344510698604,4657296.701723374,3625336.1464649653,0.04644184985479997,0.04644184985479997,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Dalaanta,396725,Marsaghai,Kendrapara,1451925.7741471138,1.4519257741471139,4654393.809183722,3627558.702162746,0.0799704454178283,0.0799704454178283,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Raghunatha Pur,396723,Marsaghai,Kendrapara,2420588.702800677,2.420588702800677,4656738.564227376,3627279.819988073,0.13394813518343912,0.13394813518343912,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
Jamapada,396724,Marsaghai,Kendrapara,1587414.1415978712,1.5874141415978713,4655384.774671709,3627908.313910525,0.08752038755845672,0.08752038755845672,LOW,Village geometry area normalized within Kendrapara coastal-belt villages,PRELIMINARY_SPATIAL_PROXY,False,False
