village,vlcode,block,district,area_km2,coastal_exposure_score,shoreline_distance_m,shoreline_distance_km,shoreline_proximity_score,shoreline_proximity_category,shoreline_method,shoreline_data_quality,official_shoreline_used
Birin Dola,396779,Marsaghai,Kendrapara,0.3720832959156333,0.0197973959890384,876.9467683255269,0.876946768325527,0.8921753883840119,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Gopei,396731,Marsaghai,Kendrapara,1.224479368288056,0.0672962414500678,582.589608077567,0.5825896080775671,0.9297581342768051,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Bilabalarampur,396712,Marsaghai,Kendrapara,0.9327458709090548,0.0510397091208615,223.9776611188604,0.2239776611188604,0.9755447618734148,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Mandia,396795,Marsaghai,Kendrapara,1.5831383335414808,0.0872821227978903,511.4985036775633,0.5114985036775633,0.9388348589933118,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Arimula,396722,Marsaghai,Kendrapara,0.4716998259928129,0.0253484189475682,1363.861154558342,1.363861154558342,0.8300074437214188,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Gajipithi,396776,Marsaghai,Kendrapara,0.8707817450709021,0.0475868254993749,414.28937451170253,0.41428937451170256,0.9512462642291236,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Agar Bindha,396728,Marsaghai,Kendrapara,1.194395038171726,0.0656198248248516,390.8800964463136,0.3908800964463136,0.9542350991136704,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Talagan,396710,Marsaghai,Kendrapara,1.3490659846646378,0.0742386953510031,1273.999753725316,1.273999753725316,0.8414807103823456,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Karandia Patna,396715,Marsaghai,Kendrapara,3.061975239035037,0.1696887033920526,1096.112064561995,1.096112064561995,0.8641929413797148,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Jalopoka,396702,Marsaghai,Kendrapara,1.265269555953587,0.0695692303610314,313.11876221336814,0.31311876221336815,0.9641634611834075,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
Karilo Patana,396709,Marsaghai,Kendrapara,2.0796979213702764,0.1149523665835367,752.1806239869197,0.7521806239869198,0.9081052006391358,VERY HIGH,Distance from village centroid to outer boundary of Kendrapara coastal-village belt,PROXY_REFERENCE,False
