slide_no,village,vlcode,latitude,longitude,movement_type,history,event_year,source_page,elevation,slope,aspect,twi
KER/WYD/58A2/2018/92,Kottappadi Part,627337,11.530277,76.14,debris slide,09 August 2018,2018.0,376,821.589599609375,33.97537800542659,76.1316848593745,0.4416216622306811
KER/WYD/58A2/2018/64,Kottappadi Part,627337,11.55233333,76.10127778,"debris flow, debris flows",08 August 2018,2018.0,375,985.6009521484375,11.039638425486967,132.55053602384157,1.7889086269989407
KER/WYD/58A2/2018/67,Kottappadi Part,627337,11.5535,76.08627778,"debris flow, debris flows",08 August 2018,2018.0,376,1060.667724609375,26.632011416661033,81.41829317450856,0.7527466542901479
KER/WYD/58A2/2018/65,Kottappadi Part,627337,11.55458333,76.09483333,debris slide,09 August 2018,2018.0,376,1024.91162109375,32.071655630168436,82.22680793929771,0.5177689365811214
KER/WYD/58A2/2018/63,Kottappadi Part,627337,11.55683333,76.12963889,debris slide,09 August 2018,2018.0,375,859.0255737304688,22.225990536511066,177.02773730619577,0.9726230271208581
KER/WYD/58A2/2018/82,Kottappadi Part,627337,11.56580556,76.11833333,debris slide,09 August 2018,2018.0,376,804.6536254882812,18.862593209504848,19.95885821798349,1.1659669853692887
KER/WYD/58A2/2018/86,Kottappadi Part,627337,11.56669444,76.11777778,soil slide,08 August 2018,2018.0,376,817.9437255859375,21.126135001218156,3.5072662816755837,1.0328477148967738
KER/WYD/58A2/2018/91,Kottappadi Part,627337,11.568888,76.126666,debris slide,09 August 2018,2018.0,376,786.2428588867188,20.112116458226,115.8266741937633,1.0895383247175188
KRL/WAY/58A02/2015/73,Kottappadi Part,627337,11.541958,76.137411,debris slide,,,322,850.3038940429688,16.11089595224435,50.00486411489577,1.3488293020210536
KRL/WAY/58A02/2015/75,Kottappadi Part,627337,11.542717,76.121397,"rock cum debris slide, debris slide",,,322,981.8607788085938,26.270711542943886,302.7313531665344,0.7698571917673337
KRL/WAY/58A02/2015/74,Kottappadi Part,627337,11.543631,76.122139,debris slide,,,322,967.482421875,23.872137052213663,23.068344279090454,0.8868816764278867
KRL/WAY/58A02/2015/72,Kottappadi Part,627337,11.550339,76.136878,debris slide,,,322,864.2683715820312,85.98368567191675,1.3886319954196438,-2.6539080963661688
KRL/WAY/58A02/2015/69,Kottappadi Part,627337,11.552339,76.101264,debris slide,,,322,985.6009521484375,11.039638425486967,132.55053602384157,1.7889086269989407
KRL/WAY/58A02/2015/66,Kottappadi Part,627337,11.552539,76.0895,debris slide,,,323,1088.81689453125,18.2358739161242,97.7557182383563,1.2039014154923784
KRL/WAY/58A02/2015/65,Kottappadi Part,627337,11.553164,76.085942,debris slide,,,323,1112.2279052734375,34.30811022473217,81.10416996489492,0.428519835143297
KRL/WAY/58A02/2015/70,Kottappadi Part,627337,11.553283,76.101244,debris slide,,,323,969.4613647460938,21.041771078159737,131.52842158836827,1.0366853678811452
KER/WYD/58A2/2018/68,Kottappadi Part,627337,11.55377778,76.08938889,debris slide,,,376,1046.199951171875,12.08982501184231,96.56184750339742,1.6814930251864382
KRL/WAY/58A02/2015/68,Kottappadi Part,627337,11.554086,76.097822,debris slide,,,323,999.4442749023438,25.24286465747774,49.38791056627897,0.8187658396901565
KRL/WAY/58A02/2015/67,Kottappadi Part,627337,11.554256,76.0928,debris slide,,,323,1027.4844970703125,13.357872169318691,93.40706875402599,1.5654423522254817
KRL/WAY/58A02/2015/63,Kottappadi Part,627337,11.5543,76.127939,subsidence,,,323,827.4976196289062,13.943470638321635,73.9176947578452,1.5157993200122357
KRL/WAY/58A02/2015/82,Kottappadi Part,627337,11.554431,76.131517,debris slide,,,323,863.875732421875,15.003563016418905,192.36466593841104,1.4327143273429068
KER/WYD/58A2/2018/66,Kottappadi Part,627337,11.55455556,76.09052778,"debris flow, debris flows",,,376,1036.625732421875,9.526487932502716,59.30138160479054,1.9619106312577215
KRL/WAY/58A02/2015/64,Kottappadi Part,627337,11.5548,76.083589,debris slide,,,323,1060.24560546875,28.245500325206038,50.09774870306642,0.6802727401980746
KRL/WAY/58A02/2015/101,Kottappadi Part,627337,11.559383,76.135828,debris slide,,,323,839.5795288085938,11.99093080135738,141.32277952823017,1.6926614623692173
KRL/WAY/58A02/2015/103,Kottappadi Part,627337,11.559564,76.136561,debris slide,,,323,862.2069702148438,30.699584373926168,115.64822494900702,0.5745277576687019
KRL/WAY/58A02/2015/102,Kottappadi Part,627337,11.560225,76.136717,debris slide,,,323,825.0256958007812,18.867601999805576,109.75386288224482,1.1642954697252474
KER/WYD/58A2/2018/69,Kottappadi Part,627337,11.56111111,76.12858333,soil flow,,,376,850.400390625,27.36967863923087,152.36671558713815,0.7199297510458204
KRL/WAY/58A02/2015/71,Kottappadi Part,627337,11.562956,76.132781,debris slide,,,323,861.3819580078125,11.458926580192035,201.7697832586298,1.7464156400818602
KRL/WAY/58A02/2015/104,Kottappadi Part,627337,11.566717,76.115653,Unknown,,,323,824.229248046875,26.99799027962064,119.96292552892777,0.7361980497024363
KER/WYD/58A2/2018/70,Kottappadi Part,627337,11.56894444,76.08027778,"debris flow, debris flows",,,376,790.8584594726562,19.225665678657045,77.71370059178496,1.1421802859460763
KER/WYD/58A2/2018/90,Thrikkaipatta Part,627338,11.578055,76.110833,debris slide,09 August 2018,2018.0,376,761.435791015625,13.164599074457026,111.66207274507617,1.582695019999341
KER/WYN/58A2/2019/45,Thrikkaipatta Part,627338,11.606776,76.118888,soil slide,,,393,1165.5738525390625,29.250054655645403,348.68500585712496,0.6369783688952162
KER/WYN/58A2/2019/44,Thrikkaipatta Part,627338,11.608153,76.11606,soil slide,,,393,1155.76904296875,12.204833459861831,105.43433610489578,1.6706105488137326
KER/WYD/58A2/2018/94,Vellarimala,627340,11.502222,76.164722,soil slide,09 August 2018,2018.0,376,835.0559692382812,20.627697985160147,151.40801269042268,1.0606830686369415
KER/WYD/58A03/2024/01,Vellarimala,627340,11.46277778,76.13416667,debris flow,,,392,1789.04248046875,53.1147101954404,83.77531682615775,-0.26313928843711587
KRL/MAL/54A03/2015/63,Vellarimala,627340,11.475014,76.16935,debris flow,,,320,1025.438232421875,13.067017989497213,109.71244043118321,1.5912876481657503
KER/WYN/58A3/2019/47,Vellarimala,627340,11.485279,76.160183,debris slide,,,393,915.40185546875,27.716232603027898,323.47583615701944,0.7041358617133329
KER/WYN/58A3/2019/46,Vellarimala,627340,11.486797,76.160537,debris slide,,,393,927.6937255859375,27.112965653126587,42.39262109771373,0.7313055598989066
KER/WYN/58A3/2019/48,Vellarimala,627340,11.489735,76.158496,debris slide,,,393,895.0938720703125,22.25183986917803,91.46946931115298,0.9697448258672197
KER/WYN/58A3/2019/49,Vellarimala,627340,11.489962,76.158194,debris flow,,,393,899.9164428710938,25.81018491286851,52.28148818675396,0.7916111227877183
KER/WYN/58A3/2019/50,Vellarimala,627340,11.490127,76.157562,debris slide,,,393,916.9456787109375,34.2853579555349,63.02823587021244,0.42957622724113115
KER/WYN/58A3/2019/52,Vellarimala,627340,11.496464,76.160201,debris slide,,,393,854.3252563476562,10.467604538338055,250.39276921293697,1.8503381644913914
KER/WYN/58A3/2019/51,Vellarimala,627340,11.496489,76.16076,debris slide,,,393,853.39697265625,14.469027710949154,272.9751042106459,1.4727016686917642
KER/WYN/58A3/2019/042,Vellarimala,627340,11.497473,76.12908,debris flow,,,393,1216.538818359375,26.69914095342447,81.26153925932726,0.7496494275852557
KER/WYN/58A3/2019/41,Vellarimala,627340,11.498578,76.128535,debris flow,,,393,1167.1842041015625,11.857742436435881,65.46663679257705,1.7045178501539109
KER/WYN/58A3/2019/39,Vellarimala,627340,11.49859,76.125528,debris flow,,,393,1143.02685546875,16.730302818829333,43.50189299702595,1.3052079188832675
KER/WYN/58A3/2019/40,Vellarimala,627340,11.499223,76.127859,debris slide,,,393,1150.3868408203125,15.25343664445285,106.85758079484054,1.4116333181732443
KER/WYD/58A2/2018/93,Vellarimala,627340,11.502222,76.164722,debris slide,,,376,835.0559692382812,20.627697985160147,151.40801269042268,1.0606830686369415
KER/WYN/58A2/2019/57,Vellarimala,627340,11.50273,76.16493,debris slide,,,393,852.16455078125,29.82056683337161,194.9674728871363,0.6124533185699851
KER/WYN/58A2/2019/58,Vellarimala,627340,11.502775,76.15347,debris slide,,,393,859.1385498046875,22.244295531323115,27.369966407082877,0.971322476579043
KER/WYN/58A2/2019/55,Vellarimala,627340,11.502947,76.164885,debris slide,,,393,857.54052734375,24.357528723063897,193.63911689086504,0.8627448592218228
KER/WYN/58A2/2019/56,Vellarimala,627340,11.502947,76.164885,debris slide,,,393,857.54052734375,24.357528723063897,193.63911689086504,0.8627448592218228
KER/WYN/58A2/2019/54,Vellarimala,627340,11.504907,76.167671,debris slide,,,393,889.1780395507812,28.46789267461601,185.78738510961074,0.6711314753426282
KER/WYN/58A2/2019/36,Vellarimala,627340,11.505195,76.142836,debris flow,,,392,865.0887451171875,10.093794435349349,325.5554673135279,1.8949000216565097
KER/WYN/58A2/2019/53,Vellarimala,627340,11.50535,76.167608,debris flow,,,393,878.6304321289062,19.080598527227682,239.77264219487597,1.151402556277563
KER/WYN/58A2/2019/35,Vellarimala,627340,11.505738,76.135943,debris slide,,,392,966.5687866210938,29.953318700573792,77.92583073731973,0.6058324450548036
KRL/WAY/58A02/2015/85,Vellarimala,627340,11.505794,76.135806,"rock cum debris slide, debris slide",,,320,966.5687866210938,29.953318700573792,77.92583073731973,0.6058324450548036
KER/WYN/58A2/2019/37,Vellarimala,627340,11.506241,76.136642,debris flow,,,393,946.5596923828125,17.33748029023279,102.79395957420917,1.262816306913482
KER/WYN/58A2/2019/34,Vellarimala,627340,11.507432,76.13507,debris flow,,,392,965.103271484375,26.31390068435839,4.696035208315394,0.7687300072713606
KER/WYN/58A2/2019/38,Vellarimala,627340,11.510344,76.137337,debris slide,,,393,900.378173828125,26.630044527617304,103.08719778824228,0.752872517149628
KER/WYN/58A2/2019/59,Vellarimala,627340,11.514932,76.133862,debris slide,,,393,884.1467895507812,16.117076470439887,139.33781587921385,1.3487178478528608
KRL/WAY/58A02/2015/86,Vellarimala,627340,11.519206,76.135783,debris slide,,,321,869.9153442382812,22.82713359391329,44.77457308611376,0.9400568922001185
KER/WYD/58A03/2025/01,Vellarimala,627340,11.52101944,76.13565,debris slide,,,396,863.3397216796875,8.75382594160084,31.183232421600778,2.064088049001952
KRL/WAY/58A02/2015/83,Vellarimala,627340,11.525275,76.145222,debris slide,,,321,817.5010986328125,26.538052773578478,2.1566601516339006,0.7583092741275315
KRL/WAY/58A02/2015/84,Vellarimala,627340,11.526589,76.144019,debris slide,,,321,843.63232421875,20.580298815138065,12.428289427663714,1.0636992315440181
