slide_no,village,vlcode,latitude,longitude,movement_type,history,event_date,event_year,source_page
KER/WYD/58A2/2018/92,Kottappadi Part,627337,11.530277,76.14,debris slide,09 August 2018,2018-08-09,2018,376
KER/WYD/58A2/2018/64,Kottappadi Part,627337,11.55233333,76.10127778,"debris flow, debris flows",08 August 2018,2018-08-08,2018,375
KER/WYD/58A2/2018/67,Kottappadi Part,627337,11.5535,76.08627778,"debris flow, debris flows",08 August 2018,2018-08-08,2018,376
KER/WYD/58A2/2018/65,Kottappadi Part,627337,11.55458333,76.09483333,debris slide,09 August 2018,2018-08-09,2018,376
KER/WYD/58A2/2018/63,Kottappadi Part,627337,11.55683333,76.12963889,debris slide,09 August 2018,2018-08-09,2018,375
KER/WYD/58A2/2018/82,Kottappadi Part,627337,11.56580556,76.11833333,debris slide,09 August 2018,2018-08-09,2018,376
KER/WYD/58A2/2018/86,Kottappadi Part,627337,11.56669444,76.11777778,soil slide,08 August 2018,2018-08-08,2018,376
KER/WYD/58A2/2018/91,Kottappadi Part,627337,11.568888,76.126666,debris slide,09 August 2018,2018-08-09,2018,376
KRL/WAY/58A02/2015/73,Kottappadi Part,627337,11.541958,76.137411,debris slide,,,,322
KRL/WAY/58A02/2015/75,Kottappadi Part,627337,11.542717,76.121397,"rock cum debris slide, debris slide",,,,322
KRL/WAY/58A02/2015/74,Kottappadi Part,627337,11.543631,76.122139,debris slide,,,,322
KRL/WAY/58A02/2015/72,Kottappadi Part,627337,11.550339,76.136878,debris slide,,,,322
KRL/WAY/58A02/2015/69,Kottappadi Part,627337,11.552339,76.101264,debris slide,,,,322
KRL/WAY/58A02/2015/66,Kottappadi Part,627337,11.552539,76.0895,debris slide,,,,323
KRL/WAY/58A02/2015/65,Kottappadi Part,627337,11.553164,76.085942,debris slide,,,,323
KRL/WAY/58A02/2015/70,Kottappadi Part,627337,11.553283,76.101244,debris slide,,,,323
KER/WYD/58A2/2018/68,Kottappadi Part,627337,11.55377778,76.08938889,debris slide,,,,376
KRL/WAY/58A02/2015/68,Kottappadi Part,627337,11.554086,76.097822,debris slide,,,,323
KRL/WAY/58A02/2015/67,Kottappadi Part,627337,11.554256,76.0928,debris slide,,,,323
KRL/WAY/58A02/2015/63,Kottappadi Part,627337,11.5543,76.127939,subsidence,,,,323
KRL/WAY/58A02/2015/82,Kottappadi Part,627337,11.554431,76.131517,debris slide,,,,323
