village,vlcode,coastal_hazard_score,flood_hazard_score,cyclone_hazard_score,rainfall_hazard_score,multi_hazard_score,multi_hazard_category,hazards_available,hazard_contribution
Birin Dola,396779,0.6528284254910168,0.3,0.6440498028276681,0.4446950457593799,0.5207999875060981,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gopei,396731,0.6753780730266927,0.1,0.679886739487326,0.4303411416807771,0.48365333511599473,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Bilabalarampur,396712,0.7028500495846586,0.3,0.6582414865644222,0.4446950457593799,0.5393543956683791,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Mandia,396795,0.6808241078565966,0.3,0.6330839115202904,0.4446950457593799,0.5264572193889275,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Arimula,396722,0.6155276586934608,0.0,0.6415192322690839,0.4446950457593799,0.4339771148271852,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Gajipithi,396776,0.6882709509980838,0.3,0.6482119734798006,0.4446950457593799,0.5324732878212513,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Agar Bindha,396728,0.6900642519288118,0.3,0.6652936670800209,0.4303411416807771,0.5344109206848042,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Talagan,396710,0.622411618690017,0.1,0.6646661713501258,0.4446950457593799,0.46682903759641253,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Karandia Patna,396715,0.6360389572884386,0.1,0.6440083227276632,0.4446950457593799,0.4657527770203233,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Jalopoka,396702,0.6960212691706542,0.1,0.6883432000205362,0.4303411416807771,0.4919604090924857,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Karilo Patana,396709,0.6623863128440912,0.1,0.6753651725735679,0.4303411416807771,0.47862541533277475,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Akhuadakhini,396796,0.6901401350681151,0.3,0.6376552984963699,0.4446950457593799,0.530394874296403,HIGH,4,COASTAL + FLOOD + CYCLONE + RAINFALL
Pokshyot,396701,0.6909957833427163,0.1,0.6950777597638266,0.4303411416807771,0.4921364032799269,MODERATE,4,COASTAL + FLOOD + CYCLONE + RAINFALL
