village,vlcode,block,district,latitude,longitude,annual_rainfall_mm,mean_daily_rainfall_mm,max_daily_rainfall_mm,rainy_days,heavy_rain_days,very_heavy_rain_days,extremely_heavy_rain_days,max_3day_rainfall_mm,max_7day_rainfall_mm,max_30day_rainfall_mm,rainfall_hazard_score,rainfall_hazard_category,rainfall_data_source,rainfall_resolution
Birin Dola,396779,Marsaghai,Kendrapara,20.419546524462742,86.40688797351491,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gopei,396731,Marsaghai,Kendrapara,20.438048582530513,86.35189640641869,1390.8014871999621,3.800004063387875,73.03124237060547,80.0,2.0,0.0,0.0,155.0174732208252,188.98017692565918,355.8318449035287,0.4303411416807771,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Bilabalarampur,396712,Marsaghai,Kendrapara,20.462252604930747,86.39024834060817,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Mandia,396795,Marsaghai,Kendrapara,20.3878506652741,86.4180326966017,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Arimula,396722,Marsaghai,Kendrapara,20.421618215448902,86.41188868666791,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Gajipithi,396776,Marsaghai,Kendrapara,20.42126218040945,86.40020693580942,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Agar Bindha,396728,Marsaghai,Kendrapara,20.436257528465276,86.37453431683903,1390.8014871999621,3.800004063387875,73.03124237060547,80.0,2.0,0.0,0.0,155.0174732208252,188.98017692565918,355.8318449035287,0.4303411416807771,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Talagan,396710,Marsaghai,Kendrapara,20.44966610514718,86.37777913792323,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Karandia Patna,396715,Marsaghai,Kendrapara,20.444245546394065,86.41146777203087,1365.2739568725228,3.730256712766456,77.22794342041016,94.0,1.0,0.0,0.0,166.52945137023926,187.4788548797369,327.1139611005783,0.4446950457593799,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
Jalopoka,396702,Marsaghai,Kendrapara,20.462593811530816,86.34252569577569,1390.8014871999621,3.800004063387875,73.03124237060547,80.0,2.0,0.0,0.0,155.0174732208252,188.98017692565918,355.8318449035287,0.4303411416807771,MODERATE,IMD 0.25 degree gridded daily rainfall 2024,0.25 x 0.25 degree
