date,rainfall_mm
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,20.580349
2024-01-05,11.327646
2024-01-06,1.8572661
2024-01-07,1.8846508
2024-01-08,0.40579876
2024-01-09,0.19169396
2024-01-10,15.813406
2024-01-11,0.0
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,0.0
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,0.0
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,0.0
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,0.0
2024-03-19,0.0
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,2.1883166
2024-05-05,0.0
2024-05-06,0.53400457
2024-05-07,10.4676
2024-05-08,0.0
2024-05-09,11.459916
2024-05-10,2.406505
2024-05-11,7.6551046
2024-05-12,5.9690347
2024-05-13,23.124336
2024-05-14,8.430595
2024-05-15,2.1884923
2024-05-16,6.22041
2024-05-17,0.0
2024-05-18,54.00075
2024-05-19,8.80863
2024-05-20,9.734752
2024-05-21,18.150656
2024-05-22,6.0240116
2024-05-23,48.495323
2024-05-24,12.564771
2024-05-25,2.3928716
2024-05-26,0.0
2024-05-27,0.0
2024-05-28,0.8327861
2024-05-29,0.8327861
2024-05-30,0.0
2024-05-31,2.4983582
2024-06-01,0.0
2024-06-02,3.487867
2024-06-03,34.86088
2024-06-04,51.158585
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,38.956554
2024-06-08,32.449482
2024-06-09,32.10385
2024-06-10,70.977356
2024-06-11,40.967068
2024-06-12,36.4259
2024-06-13,0.14492813
2024-06-14,3.4706767
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,19.023363
2024-06-19,109.75091
2024-06-20,98.30468
2024-06-21,8.385832
2024-06-22,1.7888039
2024-06-23,52.03978
2024-06-24,54.29142
2024-06-25,52.973255
2024-06-26,167.22379
2024-06-27,49.79133
2024-06-28,14.683394
2024-06-29,163.38863
2024-06-30,30.251976
2024-07-01,43.050735
2024-07-02,23.928917
2024-07-03,19.053337
2024-07-04,21.381186
2024-07-05,0.44817606
2024-07-06,31.859459
2024-07-07,15.373361
2024-07-08,8.058599
2024-07-09,36.429306
2024-07-10,3.4087226
2024-07-11,3.9762304
2024-07-12,4.500966
2024-07-13,33.914658
2024-07-14,29.861464
2024-07-15,65.392296
2024-07-16,80.62756
2024-07-17,135.45644
2024-07-18,63.711483
2024-07-19,68.16634
2024-07-20,45.17168
2024-07-21,17.814688
2024-07-22,20.358707
2024-07-23,35.263893
2024-07-24,16.717596
2024-07-25,25.570007
2024-07-26,53.280163
2024-07-27,37.820633
2024-07-28,4.9700074
2024-07-29,6.6006083
2024-07-30,179.23581
2024-07-31,16.698391
2024-08-01,31.606407
2024-08-02,42.526188
2024-08-03,6.4509993
2024-08-04,5.926263
2024-08-05,7.955866
2024-08-06,0.0
2024-08-07,22.40167
2024-08-08,24.348711
2024-08-09,16.926
2024-08-10,2.171126
2024-08-11,28.342613
2024-08-12,11.080972
2024-08-13,11.095191
2024-08-14,21.660637
2024-08-15,15.798858
2024-08-16,1.8105004
2024-08-17,1.8598741
2024-08-18,6.236305
2024-08-19,30.806517
2024-08-20,13.491103
2024-08-21,20.986773
2024-08-22,15.236933
2024-08-23,0.0
2024-08-24,2.6378906
2024-08-25,8.3720455
2024-08-26,28.644375
2024-08-27,5.240396
2024-08-28,40.81533
2024-08-29,15.405746
2024-08-30,35.508663
2024-08-31,2.2117896
2024-09-01,2.0850592
2024-09-02,2.051568
2024-09-03,6.310163
2024-09-04,6.335057
2024-09-05,1.6655722
2024-09-06,22.682728
2024-09-07,20.13421
2024-09-08,2.4983582
2024-09-09,8.809825
2024-09-10,12.8623295
2024-09-11,31.720045
2024-09-12,26.967009
2024-09-13,1.6655722
2024-09-14,0.15672304
2024-09-15,2.0659752
2024-09-16,2.0315936
2024-09-17,1.5864277
2024-09-18,4.9967165
2024-09-19,0.0
2024-09-20,0.0
2024-09-21,0.0
2024-09-22,0.0
2024-09-23,0.0
2024-09-24,23.724812
2024-09-25,5.9690347
2024-09-26,0.0
2024-09-27,3.8656838
2024-09-28,4.448391
2024-09-29,2.5079236
2024-09-30,0.17800152
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.9777142
2024-10-04,0.0
2024-10-05,1.6655722
2024-10-06,23.648508
2024-10-07,34.339928
2024-10-08,27.07753
2024-10-09,5.142933
2024-10-10,12.23992
2024-10-11,7.6208205
2024-10-12,6.2903643
2024-10-13,8.854896
2024-10-14,6.6540737
2024-10-15,6.599207
2024-10-16,3.8774788
2024-10-17,23.217268
2024-10-18,8.612321
2024-10-19,2.7248473
2024-10-20,12.231938
2024-10-21,17.390919
2024-10-22,36.43271
2024-10-23,6.446989
2024-10-24,3.2795022
2024-10-25,4.3034625
2024-10-26,6.39471
2024-10-27,0.19169396
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.53400457
2024-11-02,3.221984
2024-11-03,5.1924043
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.14492813
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,1.0474803
2024-11-14,0.0
2024-11-15,1.3926958
2024-11-16,2.6211996
2024-11-17,2.8091962
2024-11-18,1.2417823
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.15061669
2024-11-22,0.0
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,0.0
2024-11-26,0.0
2024-11-27,2.6743684
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,3.610209
2024-12-02,38.312405
2024-12-03,66.321075
2024-12-04,0.2554748
2024-12-05,1.1614043
2024-12-06,0.0
2024-12-07,0.0
2024-12-08,0.0
2024-12-09,0.0
2024-12-10,0.0
2024-12-11,0.0
2024-12-12,0.0
2024-12-13,3.405779
2024-12-14,3.4665341
2024-12-15,1.1259805
2024-12-16,0.0
2024-12-17,0.0
2024-12-18,0.0
2024-12-19,0.0
2024-12-20,0.0
2024-12-21,0.0
2024-12-22,0.0
2024-12-23,0.0
2024-12-24,0.0
2024-12-25,0.0
2024-12-26,0.0
2024-12-27,2.0315936
2024-12-28,0.3286182
2024-12-29,0.0
2024-12-30,0.0
2024-12-31,0.0
